Region,Age,Education,WorkLocation,Industry,Employed
01,41,50611,2805,1,1
01,62,24015,2805,1,1
01,58,24015,2805,1,1
01,55,24015,2805,47,1
01,70,10014,2805,1,1
01,42,24015,2805,47,1
01,29,24015,2805,47,1
01,17,34031,2805,1,1
01,82,24015,2805,1,1
01,24,60002,2805,96,1
01,62,24015,2805,1,1
01,63,60001,2805,84,1
01,43,10015,2805,1,1
01,51,24012,2805,1,1
01,49,24013,2805,1,1
01,47,24015,2805,1,1
01,27,60715,2805,80,1
01,45,24015,2805,84,1
01,38,60111,2805,85,1
01,35,24015,2805,53,1
01,47,60002,2805,1,1
01,23,24015,2805,53,1
01,29,24015,2805,1,1
01,26,41012,2805,47,1
01,60,24015,2805,1,1
01,40,60612,2805,1,1
01,34,24015,2805,1,1
01,50,24015,2805,41,1
01,47,24015,2806,96,1
01,38,24015,2806,41,1
01,42,24011,2806,1,1
01,41,24013,2806,47,1
01,24,35013,2806,1,1
01,18,34011,2806,1,1
01,23,24013,2806,10,1
01,47,60002,2806,41,1
01,38,60002,2806,1,1
01,61,24015,2806,1,1
01,55,24015,2806,84,1
01,65,24012,2806,1,1
01,65,24015,2806,1,1
01,38,24015,2806,1,1
01,86,10014,2806,1,1
01,24,34023,2806,1,1
01,40,24015,2806,1,1
01,35,24015,2806,96,1
01,15,24015,2806,1,1
01,38,10018,2806,1,1
01,69,10018,2806,1,1
01,64,10018,2806,1,1
01,39,24015,2806,1,1
01,69,10012,2806,1,1
01,63,10018,2806,1,1
01,33,10011,2806,1,1
01,67,10018,2806,1,1
01,48,10014,2806,1,1
01,42,10018,2806,1,1
01,73,10018,2812,47,1
01,62,10018,2812,47,1
01,63,60412,2812,84,1
01,56,60003,2812,56,1
01,50,10018,2812,31,1
01,25,60488,2812,47,1
01,48,24015,2812,47,1
01,46,60913,2812,87,1
01,60,24015,2812,47,1
01,62,60002,2812,47,1
01,32,24012,2812,52,1
01,33,60415,2812,47,1
01,44,24015,2823,55,1
01,39,60612,2823,55,1
01,45,60612,2812,45,1
01,57,60314,2816,80,1
01,58,60732,2812,41,1
01,48,60415,2812,82,1
01,66,24015,2812,41,1
01,36,24015,2812,56,1
01,36,60913,2812,47,1
01,56,60002,2820,56,1
01,57,60002,2812,47,1
01,27,60411,2819,82,1
01,22,61013,0,0,0
01,67,24015,2812,84,1
01,28,60612,2812,84,1
01,28,60613,2812,82,1
01,27,24015,2812,10,1
01,31,50413,2812,46,1
01,44,60001,2812,47,1
01,24,60003,2812,14,1
01,23,35013,2812,53,1
01,60,60719,2812,52,1
01,34,24015,2812,43,1
01,24,60914,2812,52,1
01,29,10018,2812,41,1
01,61,60913,2812,86,1
01,31,24015,2812,18,1
01,34,60413,2812,47,1
01,42,60716,2812,41,1
01,56,60411,2812,64,1
01,50,24015,2812,41,1
01,44,24015,2812,1,1
01,53,10018,2820,96,1
01,32,10018,2820,1,1
01,29,24015,2820,95,1
01,23,35013,3904,1,1
01,38,24015,2820,41,1
01,38,61013,2820,56,1
01,40,24015,2820,1,1
01,43,60111,2820,96,1
01,37,60913,2820,84,1
01,58,24015,2820,53,1
01,60,24015,2820,1,1
01,24,34013,2820,41,1
01,65,10018,2820,49,1
01,75,10018,2820,1,1
01,73,10018,2820,1,1
01,61,24012,2820,1,1
01,65,24011,2820,47,1
01,54,50716,2820,49,1
01,25,60002,2820,42,1
01,29,24015,2820,49,1
01,49,60002,2820,1,1
01,52,60111,2820,1,1
01,19,24015,2820,1,1
01,60,24015,2820,49,1
01,27,24013,2820,53,1
01,47,10018,2820,1,1
01,43,24015,2820,1,1
01,75,10011,2820,1,1
01,35,24015,2820,1,1
01,47,10018,2820,1,1
01,38,24015,2820,1,1
01,42,24015,2820,1,1
01,33,60913,2820,82,1
01,50,10018,2822,41,1
01,67,10013,2822,1,1
01,67,10015,2822,47,1
01,41,60111,2822,85,1
01,72,10018,2822,1,1
01,54,10018,2822,1,1
01,28,24015,2822,1,1
01,45,24015,2822,1,1
01,45,60913,2822,1,1
01,33,60211,2822,18,1
01,35,24015,2822,45,1
01,36,60714,2822,82,1
01,38,24012,2822,16,1
01,62,24015,2822,1,1
01,59,60111,2822,85,1
01,55,10011,2822,1,1
01,53,24015,2822,1,1
01,34,24015,2822,47,1
01,24,24015,2812,47,1
01,32,24015,2818,47,1
01,59,10012,2822,1,1
01,54,10018,2822,1,1
01,23,60002,2822,1,1
01,77,10018,2822,1,1
01,60,10018,2822,1,1
01,23,35013,2822,1,1
01,45,24015,2812,82,1
01,71,10018,2822,1,1
01,41,60001,2812,47,1
01,18,34021,2822,1,1
01,22,24015,2812,82,1
01,27,60003,2822,84,1
01,23,10018,2822,41,1
01,31,10018,2822,41,1
01,36,24015,2822,1,1
01,30,10018,2822,1,1
01,33,10018,2822,1,1
01,29,24015,2822,47,1
01,70,24015,2822,1,1
01,59,10018,2822,1,1
01,26,24015,2822,41,1
01,20,24015,2822,47,1
01,35,61013,2822,47,1
01,43,24013,2822,1,1
01,40,10018,2822,1,1
01,51,24015,2822,1,1
01,39,24015,2822,1,1
01,19,34013,2822,1,1
01,72,10018,2822,1,1
01,54,10018,2823,1,1
01,44,24015,2823,1,1
01,23,60488,2823,1,1
01,69,10018,2823,1,1
01,62,24012,2823,1,1
01,30,24015,2823,41,1
01,22,24015,2820,56,1
01,53,60001,2823,1,1
01,54,24012,2823,1,1
01,52,60003,2823,1,1
01,42,60003,2823,84,1
01,37,60003,2823,47,1
01,69,60111,2823,1,1
01,64,60831,2817,84,1
01,39,60612,2823,84,1
01,35,60111,2823,85,1
01,43,24015,2823,1,1
01,37,24015,2823,1,1
01,71,24012,2823,47,1
01,32,24015,2823,1,1
01,31,24015,2823,1,1
01,62,24015,2823,1,1
01,31,10018,2823,1,1
01,21,24015,2823,1,1
01,49,24015,2905,42,1
01,42,24015,2930,49,1
01,84,10018,2905,1,1
01,31,50913,2905,1,1
01,42,24015,2905,47,1
01,37,24012,2905,47,1
01,65,10018,2905,1,1
01,64,10018,2905,47,1
01,28,24015,2905,49,1
01,33,24015,2905,96,1
01,33,24012,2905,1,1
01,31,40721,2905,96,1
01,43,10018,2920,42,1
01,63,24015,2905,1,1
01,56,24015,2934,84,1
01,44,40716,2905,1,1
01,59,40716,2905,80,1
01,43,24015,2905,47,1
01,22,10018,2905,41,1
01,23,24012,2905,41,1
01,59,10014,2905,1,1
01,55,10018,2905,1,1
01,27,24015,2905,41,1
01,25,60001,3905,47,1
01,46,24015,2930,49,1
01,43,24015,2905,47,1
01,65,24015,2905,1,1
01,50,24015,2905,1,1
01,42,24015,2905,84,1
01,22,34013,2905,56,1
01,81,10013,2912,56,1
01,32,02000,2905,16,1
01,37,40213,2907,90,1
01,50,60411,2903,47,1
01,36,24015,2903,47,1
01,41,40723,2907,56,1
01,39,60001,2907,56,1
01,40,60311,2907,84,1
01,65,24012,2907,49,1
01,65,24011,2907,96,1
01,32,40716,2907,41,1
01,34,24015,2930,41,1
01,55,24015,2903,41,1
01,28,24012,2907,3,1
01,60,24012,2907,3,1
01,54,10018,2907,47,1
01,19,24015,2907,41,1
01,50,24013,2907,41,1
01,54,60114,2934,45,1
01,46,60111,2907,85,1
01,24,61013,2907,56,1
01,48,24011,2907,49,1
01,50,24015,2907,84,1
01,26,24013,2907,41,1
01,23,61015,2934,55,1
01,24,24015,2907,41,1
01,49,60222,2903,1,1
01,47,24015,2907,47,1
01,38,60003,2934,61,1
01,60,10018,2907,41,1
01,61,10018,2907,47,1
01,28,24015,2907,41,1
01,24,60413,7604,82,1
01,40,10018,2907,49,1
01,32,24015,2907,56,1
01,61,24012,2907,41,1
01,64,24015,2907,96,1
01,34,24015,2910,41,1
01,56,10012,2910,41,1
01,25,60002,2910,41,1
01,57,10015,2910,41,1
01,45,40610,2910,41,1
01,58,50415,2910,84,1
01,55,10018,2910,41,1
01,28,60003,2910,47,1
01,40,60002,2910,1,1
01,46,40713,2910,84,1
01,42,60111,2910,85,1
01,46,10015,2910,41,1
01,66,10018,2912,84,1
01,25,60612,2934,84,1
01,43,24015,101,41,1
01,25,60413,2934,68,1
01,27,60314,2903,84,1
01,38,10018,2912,1,1
