Region,Employed,Unemployed,Age,Education,LocationOfWork,Industry
1,1,0,42,60003,2823,84
1,1,0,37,60003,2823,47
1,1,0,69,60111,2823,1
1,1,0,64,60831,2817,84
1,1,0,39,60612,2823,84
1,1,0,35,60111,2823,85
1,1,0,43,24015,2823,1
1,1,0,37,24015,2823,1
1,1,0,71,24012,2823,47
1,1,0,32,24015,2823,1
1,1,0,31,24015,2823,1
1,1,0,62,24015,2823,1
1,1,0,31,10018,2823,1
1,1,0,21,24015,2823,1
1,1,0,49,24015,2905,42
1,1,0,42,24015,2930,49
1,1,0,84,10018,2905,1
1,1,0,31,50913,2905,1
1,1,0,42,24015,2905,47
1,1,0,37,24012,2905,47
1,1,0,65,10018,2905,1
1,1,0,64,10018,2905,47
1,1,0,28,24015,2905,49
1,1,0,33,24015,2905,96
1,1,0,33,24012,2905,1
1,1,0,31,40721,2905,96
1,1,0,43,10018,2920,42
1,1,0,63,24015,2905,1
1,1,0,56,24015,2934,84
1,1,0,44,40716,2905,1
1,1,0,59,40716,2905,80
1,1,0,43,24015,2905,47
1,0,1,20,24015,0,0
1,1,0,22,10018,2905,41
1,1,0,23,24012,2905,41
1,1,0,59,10014,2905,1
1,1,0,55,10018,2905,1
1,1,0,27,24015,2905,41
1,1,0,25,60001,3905,47
1,1,0,46,24015,2930,49
1,1,0,43,24015,2905,47
1,1,0,65,24015,2905,1
1,1,0,50,24015,2905,1
1,1,0,42,24015,2905,84
1,1,0,22,34013,2905,56
1,1,0,81,10013,2912,56
1,1,0,32,2000,2905,16
1,1,0,37,40213,2907,90
1,1,0,50,60411,2903,47
1,1,0,36,24015,2903,47
1,1,0,41,40723,2907,56
1,1,0,39,60001,2907,56
1,1,0,40,60311,2907,84
1,1,0,65,24012,2907,49
1,1,0,65,24011,2907,96
1,1,0,32,40716,2907,41
1,1,0,34,24015,2930,41
1,1,0,55,24015,2903,41
1,1,0,28,24012,2907,3
1,1,0,60,24012,2907,3
1,1,0,54,10018,2907,47
1,1,0,19,24015,2907,41
1,1,0,50,24013,2907,41
1,1,0,54,60114,2934,45
1,1,0,46,60111,2907,85
1,1,0,24,61013,2907,56
1,1,0,48,24011,2907,49
1,1,0,50,24015,2907,84
1,1,0,26,24013,2907,41
1,1,0,23,61015,2934,55
1,1,0,24,24015,2907,41
1,1,0,49,60222,2903,1
1,1,0,47,24015,2907,47
1,1,0,38,60003,2934,61
1,1,0,60,10018,2907,41
1,1,0,61,10018,2907,47
1,1,0,28,24015,2907,41
1,1,0,24,60413,7604,82
1,1,0,40,10018,2907,49
1,1,0,32,24015,2907,56
1,1,0,61,24012,2907,41
1,1,0,64,24015,2907,96
1,1,0,34,24015,2910,41
1,1,0,56,10012,2910,41
1,1,0,25,60002,2910,41
1,1,0,57,10015,2910,41
1,1,0,45,40610,2910,41
1,1,0,58,50415,2910,84
1,1,0,55,10018,2910,41
1,1,0,28,60003,2910,47
1,1,0,40,60002,2910,1
1,1,0,46,40713,2910,84
1,1,0,42,60111,2910,85
1,1,0,46,10015,2910,41
1,1,0,66,10018,2912,84
1,1,0,25,60612,2934,84
1,1,0,43,24015,101,41
1,1,0,25,60413,2934,68
1,1,0,27,60314,2903,84
1,1,0,38,10018,2912,1
1,1,0,81,10018,2905,1
1,0,1,71,10018,0,0
1,1,0,35,60001,2912,1
1,1,0,72,24011,2912,1
1,1,0,66,10018,2912,1
1,1,0,36,24015,2928,41
1,1,0,73,10018,2912,1
1,1,0,76,10018,2912,1
1,1,0,35,24012,2912,1
1,1,0,27,60322,2912,47
1,1,0,49,10018,2912,1
1,1,0,62,10018,2912,1
1,1,0,39,60923,2920,84
1,1,0,50,10015,2912,1
1,1,0,47,24013,2912,47
1,1,0,31,24015,2912,1
1,1,0,30,50721,2912,1
1,1,0,54,60716,2912,1
1,1,0,49,60111,2912,85
1,1,0,43,40716,2912,1
1,1,0,39,60001,2906,41
1,1,0,31,24015,2934,82
1,1,0,48,24015,2912,1
1,1,0,24,41013,2912,47
1,1,0,77,10015,2912,1
1,1,0,78,10018,2912,1
1,1,0,46,10018,2912,41
1,1,0,48,10018,2912,1
1,1,0,38,40610,2934,64
1,1,0,39,50613,2925,3
1,1,0,36,50913,2925,47
1,1,0,52,10013,2925,10
1,1,0,49,24015,2925,47
1,1,0,24,60001,2925,84
1,1,0,21,34013,2906,47
1,1,0,28,10018,2925,10
1,1,0,40,24015,2925,41
1,1,0,43,50613,2925,56
1,1,0,40,24015,2925,41
1,1,0,75,60002,2925,1
1,1,0,36,24015,2925,41
1,1,0,25,24015,2914,47
1,1,0,38,24015,2916,41
1,1,0,59,24015,2925,1
1,1,0,64,10018,2925,47
1,1,0,54,24015,2924,41
1,1,0,51,24015,2925,1
1,1,0,29,60413,2906,64
1,1,0,44,10013,2924,47
1,1,0,22,60003,2925,41
1,1,0,59,10014,2925,47
1,1,0,57,10018,2925,96
1,1,0,58,24015,2925,1
1,1,0,53,60111,2925,85
1,1,0,22,60914,2906,86
1,1,0,76,10012,2925,47
1,1,0,35,60314,2916,41
1,1,0,34,24015,2925,47
1,1,0,43,24015,2925,1
1,1,0,42,10013,2925,1
1,1,0,35,24015,2925,1
1,1,0,55,24015,2925,1
1,1,0,50,24015,2925,1
1,1,0,38,40714,2925,1
1,1,0,36,24015,2906,47
1,1,0,56,24015,2925,31
1,1,0,24,60916,2906,86
1,1,0,34,24015,2925,96
1,1,0,41,24015,2925,96
1,1,0,51,24013,2925,1
1,1,0,50,24013,2925,1
1,1,0,28,24012,2925,41
1,1,0,23,60002,2925,41
1,1,0,22,34013,2925,41
1,1,0,29,24015,2925,41
1,1,0,29,24015,2906,96
1,1,0,65,24011,2925,1
1,1,0,64,10018,2925,1
1,1,0,42,40714,2924,95
1,1,0,37,24015,2925,41
1,1,0,34,60003,2925,1
1,1,0,62,24015,2925,1
1,1,0,38,24013,2925,41
1,1,0,32,24013,2925,1
1,1,0,64,24015,2925,1
1,1,0,58,10018,2925,1
1,1,0,35,24015,2925,1
1,1,0,28,24015,2925,1
1,1,0,49,10012,2925,31
1,1,0,42,10018,2925,56
1,1,0,23,24012,2925,1
1,1,0,57,24012,2925,1
1,1,0,45,24015,3301,10
1,1,0,41,61013,3301,96
1,1,0,24,10014,3301,46
1,1,0,54,24015,3301,1
1,1,0,47,24015,3303,41
1,1,0,56,60111,3301,1
1,1,0,24,60913,3314,86
1,1,0,43,60111,3301,1
1,1,0,43,60001,3301,84
1,1,0,49,24015,3301,95
1,1,0,36,60413,3314,84
1,1,0,41,24011,3301,96
1,1,0,58,60003,3301,49
1,1,0,56,24015,3301,96
1,1,0,22,60002,3314,41
1,0,1,56,60541,0,0
1,1,0,40,50913,3314,86
1,0,1,32,60002,0,0
1,1,0,43,60314,3314,84
1,1,0,41,60111,3301,84
1,1,0,30,60811,3301,12
1,1,0,40,24013,3301,96
1,1,0,29,60314,3301,80
1,1,0,29,24011,3301,49
1,1,0,63,24015,3301,41
